Part Number,Manufacturer,Designation,Description,Product Group,Link
RIT.1073000,Rittal,"Compact enclosure AX / AX Compact enclosure, WHD: 760x760x300 mm, sheet steel, with mounting plate, single-door, with two cam locks",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.1073000/id-995178?page=5
RIT.8884500,Rittal,"Baying systems TS 8 / TS Bayed enclosure system, WHD: 800x1800x400 mm, Sheet steel, with mounting plate, single door at the front.",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8884500/id-424225?page=5
RIT.1280000,Rittal,"Compact enclosure AX / AX Compact enclosure, WHD: 800x1200x300 mm, sheet steel, with mounting plate, single-door, with 3-point lock system",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.1280000/id-995195?page=5
SIE.6ES7155-6AA01-0BN0,Siemens,"ET 200SP, IM155-6PN ST INCL. BA 2XRJ45 / SIMATIC DP, ET 200SP","SIMATIC ET 200SP, PROFINET bundle IM, IM 155-6PN ST, max. 32 I/O modules and 16 ET 200AL modules, single hot swap, bundle consists of: Interface module (6ES7155-6AU01-0BN0), Server module (6ES7193-6PA00-0AA0), BusAdapter BA 2xRJ45 (6ES7193-6AR00-0AA0)",Electrical engineering > PLC > General,https://dataportal.eplan.com/part-details/Siemens/SIE.6ES7155-6AA01-0BN0/id-936596?page=5
RIT.2500460,Rittal,"Door-operated switch / SZ Door-operated switch, with connection wire, L: 800 mm, black",None ,"Electrical engineering > Sensor, switch, and pushbutton > Switch / pushbutton",https://dataportal.eplan.com/part-details/Rittal/RIT.2500460/id-647723?page=5
PXC.3209578,Phoenix Contact,Feed-through terminal block / Feed-through terminal block,"Feed-through terminal block, nom. voltage: 800 V, nominal current: 24 A, number of connections: 4, connection method: Push-in connection, Rated cross section: 2.5 mm², cross section: 0.14 mm² - 4 mm², mounting type: NS 35/7,5, NS 35/15, color: gray",Electrical engineering > Terminals > Terminal,https://dataportal.eplan.com/part-details/Phoenix%20Contact/PXC.3209578/id-418084?page=5
PXC.0800886,Phoenix Contact,End bracket for terminal block / End bracket,"End bracket, material: PA, color: gray",Electrical engineering > Terminals > End clamp,https://dataportal.eplan.com/part-details/Phoenix%20Contact/PXC.0800886/id-399327?page=5
PXC.3030417,Phoenix Contact,End and partition plate for terminal block / End cover,"End cover, depth: 29.1 mm, width: 2.2 mm, height: 48.6 mm, color: gray",Electrical engineering > Terminals > Partition,https://dataportal.eplan.com/part-details/Phoenix%20Contact/PXC.3030417/id-416064?page=5
RIT.8284500,Rittal,"Baying systems TS 8 / TS Bayed enclosure system, WHD: 1200x1800x400 mm, Sheet steel, with mounting plate, two doors at the front.",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8284500/id-424189?page=6
SE.ZBE102,Schneider Electric,Harmony XB5 1NC contact,Harmony XB5 1NC contact,"Electrical engineering > Sensor, switch, and pushbutton > Switch / pushbutton",https://dataportal.eplan.com/part-details/Schneider%20Electric/SE.ZBE102/id-598789?page=6
RIT.4116000,Rittal,Wiring plan pocket of sheet steel,"SZ Wiring diagram pockets, for VX, TS, VX SE, PC, TP lower section, sheet steel, for door width: 600 mm, D: 90 mm",Mechanics > Housing > Accessories,https://dataportal.eplan.com/part-details/Rittal/RIT.4116000/id-421646?page=6
SIE.3RV2901-2E,Siemens,"TRANSVERSE AUX. SWITCH, 1NO+1NC, SPRING-L. CONNECTION / FOR CIRCUIT-BREAKERS, SZ S00/S0","TRANSVERSE AUX. SWITCH, 1NO+1NC, SPRING-L. CONNECTION, FOR CIRCUIT-BREAKERS, SZ S00/S0 ,",Electrical engineering > Protection devices > General,https://dataportal.eplan.com/part-details/Siemens/SIE.3RV2901-2E/id-453089?page=6
RIT.1110000,Rittal,"Compact enclosure AX / AX Compact enclosure, WHD: 1000x1000x300 mm, sheet steel, with mounting plate, two-door, with two cam locks",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.1110000/id-995184?page=6
RIT.8618250,Rittal,"Comfort Handle for VX, VX IT","VX Comfort handle, for semi-cylinder, RAL 7035",Mechanics > Lock systems > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8618250/id-933838?page=6
SIE.3RV2925-5AB,Siemens,3-PHASE INFEED TERMINAL SZ S0/S00,"3-PHASE INFEED TERMINAL, FOR 3-PHASE BUSBARS, CONNECTION FROM ABOVE, SIZE S00/S0",Electrical engineering > Protection devices > General,https://dataportal.eplan.com/part-details/Siemens/SIE.3RV2925-5AB/id-724983?page=6
RIT.2537100,Rittal,"Mini-comfort handle AX / AX Mini-comfort handle, for AX and KX with cam, for lock inserts or semi-cylinders",None ,Mechanics > Lock systems > General,https://dataportal.eplan.com/part-details/Rittal/RIT.2537100/id-995339?page=6
RIT.8617502,Rittal,"Baying connector, external","VX Baying connector, external, sheet steel, zinc-plated","Mechanics > Housing accessories, external extension > General",https://dataportal.eplan.com/part-details/Rittal/RIT.8617502/id-933808?page=6
SE.ZB4BZ009,Schneider Electric,metal fixing collar pillar for electrical block,None ,Mechanics > General > General,https://dataportal.eplan.com/part-details/Schneider%20Electric/SE.ZB4BZ009/id-598805?page=6
SE.A9A26924,Schneider Electric,"Auxiliary contact iOF, iC60","Auxiliary contact iOF, iC60",Electrical engineering > Protection devices > Circuit breaker,https://dataportal.eplan.com/part-details/Schneider%20Electric/SE.A9A26924/id-433501?page=6
SIE.3RH2911-1FA40,Siemens,"AUX. SWITCH BLOCK , 4NO COND. PATHS: 1NO, 1NO, / 1NO, 1NO F. CONT. RELAYS A. MOTOR CONT. / SZ S00 AND S0, SCREW TERMINAL","AUX. SWITCH BLOCK , 4NO COND. PATHS: 1NO, 1NO, 1NO, 1NO F. CONT. RELAYS A. MOTOR CONT. SZ S00 AND S0,, SCREW TERMINAL DIN EN 50005","Electrical engineering > Relays, contactors > General",https://dataportal.eplan.com/part-details/Siemens/SIE.3RH2911-1FA40/id-451476?page=6
RIT.1054500,Rittal,"Compact enclosures AE / AE Compact enclosure, WHD: 600x600x250 mm, Sheet steel, with mounting plate, single-door, with two cam locks",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.1054500/id-423473?page=6
PXC.3030161,Phoenix Contact,Cross-connector for terminal block / Plug-in bridge,"Plug-in bridge, pitch: 5.2 mm, number of positions: 2, length: 23 mm, color: red",Electrical engineering > Terminals > Cross-connector,https://dataportal.eplan.com/part-details/Phoenix%20Contact/PXC.3030161/id-416044?page=6
RIT.8226000,Rittal,Baying enclosure system VX25,"VX Baying enclosure system, WHD: 1200x2200x600 mm, sheet steel, with mounting plate, two doors at the front",Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8226000/id-933746?page=6
SIE.3RV2011-0FA15,Siemens,CIRCUIT-BREAKER SCREW CONNECTION 0.5A / SIRIUS Circuit breaker,"CIRCUIT-BREAKER SZ S00, FOR MOTOR PROTECTION, CLASS 10, A-REL. 0.35...0.5A, N-RELEASE6.5A SCREW CONNECTION, STANDARD SW. CAPACITY, W. TRANSVERSE AUX. SWITCH 1NO+1NC",Electrical engineering > Protection devices > Motor overload switch,https://dataportal.eplan.com/part-details/Siemens/SIE.3RV2011-0FA15/id-452734?page=6
RIT.1350000,Rittal,"Compact enclosure AX / AX Compact enclosure, WHD: 500x500x300 mm, sheet steel, with mounting plate, single-door, with two cam locks",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.1350000/id-995204?page=6
SIE.3RH2911-1HA11,Siemens,"AUX. SWITCH BLOCK , 1NO+1NC COND. PATHS: 1NC, 1NO / F. CONT. RELAYS A. MOTOR CONT. SZ S00 AND S0, / SCREW TERMINAL DIN EN 50012 AND DIN EN 50005","AUX. SWITCH BLOCK , 1NO+1NC COND. PATHS: 1NC, 1NO F. CONT. RELAYS A. MOTOR CONT. SZ S00 AND S0, SCREW TERMINAL, DIN EN 50012 AND DIN EN 50005","Electrical engineering > Relays, contactors > General",https://dataportal.eplan.com/part-details/Siemens/SIE.3RH2911-1HA11/id-451489?page=6
SIE.5ST3011,Siemens,SENTRON Auxiliary current switch Mountable,"Auxiliary current switch 2 NO for circuit breaker 5SL, 5SY, 5SP Incorporated switch 5TL1, RCBO 5SU1, FI 5SV (for 5SU1 handle coupler 5ST3805-1 is required)",Electrical engineering > Protection devices > General,https://dataportal.eplan.com/part-details/Siemens/SIE.5ST3011/id-1147448?page=6
RIT.8618270,Rittal,"Comfort Handle for VX, VX IT","VX Comfort handle, prepared for ASSA lock system",Mechanics > Lock systems > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8618270/id-942312?page=6
SE.LADN22,Schneider Electric,"Auxiliary contact block TeSys - 2 NO + 2 NC,screw-clamps terminals","Auxiliary contact block TeSys - 2 NO + 2 NC,screw-clamps terminals","Electrical engineering > Relays, contactors > Auxiliary block",https://dataportal.eplan.com/part-details/Schneider%20Electric/SE.LADN22/id-429931?page=7
RIT.3304500,Rittal,"TopTherm wall-mounted cooling unit Blue e / SK cooling unit Blue e, wall-mounted, 1.1 kW, 230 V, 1~, 50/60 Hz, Sheet steel, WHD: 400 x 950 x 260 mm",None ,None ,https://dataportal.eplan.com/part-details/Rittal/RIT.3304500/id-420963?page=7
RIT.2505510,Rittal,Wall angle / SZ Wall angle,None ,Mechanics > Housing > Accessories,https://dataportal.eplan.com/part-details/Rittal/RIT.2505510/id-559108?page=7
SE.GV2ME08,Schneider Electric,"Motor circuit breaker, TeSys Deca, 3P, 2.5-4 A, thermal magnetic, screw clamp terminals","Motor circuit breaker, TeSys Deca, 3P, 2.5-4 A, thermal magnetic, screw clamp terminals",Electrical engineering > Protection devices > General,https://dataportal.eplan.com/part-details/Schneider%20Electric/SE.GV2ME08/id-429604?page=7
SIE.5ST3012,Siemens,SENTRON Auxiliary current switch Mountable,"auxiliary current switch, 2 NC for miniature circuit breaker 5SL, 5SY, 5SP Incorporated switch 5TL1, RCBO 5SU1, FI 5SV (for 5SU1 handle coupler 5ST3805-1 is required)",Electrical engineering > Protection devices > General,https://dataportal.eplan.com/part-details/Siemens/SIE.5ST3012/id-1147450?page=8
SIE.3RA2814-1FW10,Siemens,HS OFF-DELAY UC24-240V 0.05-100S / SIRIUS auxiliary switch / off-delayed with auxiliary voltage,"SOLID-STATE TIME-DELAY AUXILIARY SWITCH, OFF-DELAY WITH AUXILIARY VOLTAGE RELAY 1 NC + 1 NO 24...240V AC/DC TIME RANGE 0.05...100S FOR SNAPPING ONTO THE FRONT/ FOR 3RT2 S00-S2 CONTACTORS SCREW TERMINALS INTEGRATED VARISTOR FOR DAMPING CONTACTOR COILS","Electrical engineering > Relays, contactors > General",https://dataportal.eplan.com/part-details/Siemens/SIE.3RA2814-1FW10/id-450931?page=8
SIE.6EP1334-2BA20,Siemens,SITOP PSU100S 1ph 24 V/10 A,SITOP PSU100S 24 V/10 A STABILIZED POWER SUPPLY INPUT: AC 120/230 V OUTPUT: DC 24 V/10 A *EX APPROVAL NO LONGER AVAILABLE*,None ,https://dataportal.eplan.com/part-details/Siemens/SIE.6EP1334-2BA20/id-459161?page=9
SIE.5ST3013,Siemens,SENTRON Auxiliary current switch Mountable,"auxiliary current switch, low power rating 1 NO+1 NC for miniature circuit breaker 5SL, 5SY, 5SP Incorporated switch 5TL1, RCBO 5SU1, FI 5SV (for 5SU1 handle coupler 5ST3805-1 is required)",Electrical engineering > Protection devices > General,https://dataportal.eplan.com/part-details/Siemens/SIE.5ST3013/id-1147452?page=9
SIE.3RH2911-1AA01,Siemens,"AUX. SWITCH BLOCK , 1NC COND. PATHS: 1NC, / CONNECTION FROM ABOVE F. CONT. RELAYS A. MOTOR CONT. / SZ S00 AND S0, SCREW TERMINAL","AUX. SWITCH BLOCK , 1NC COND. PATHS: 1NC, CONNECTION FROM ABOVE F. CONT. RELAYS A. MOTOR CONT. SZ S00 AND S0,, SCREW TERMINAL","Electrical engineering > Relays, contactors > General",https://dataportal.eplan.com/part-details/Siemens/SIE.3RH2911-1AA01/id-451468?page=9
SIE.3RA2815-2FW10,Siemens,HS OFF-DELAY UC24-240V 0.05-100S / SIRIUS auxiliary switch / off-delayed without auxiliary voltage,"SOLID-STATE TIME-DELAY AUXILIARY SWITCH, OFF-DELAY WITHOUT AUXILIARY VOLTAGE RELAY 1 NC + 1 NO 24...240V AC/DC TIME RANGE 0.05...100S FOR SNAPPING ONTO THE FRONT/ FOR 3RT2 S00-S2 CONTACTORS SPRING-TYPE TERMINALS INTEGRATED VARISTOR FOR DAMPING CONTACTOR COILS","Electrical engineering > Relays, contactors > General",https://dataportal.eplan.com/part-details/Siemens/SIE.3RA2815-2FW10/id-450937?page=9
SIE.3RA2711-1AA00,Siemens,DIRECT STARTER FOR IO-LINK / Sirius function module/basic module for direct start with IO-Link / direct starter function,"FUNCTION MODULE FOR IO-LINK, DIRECT START, SCREW CONNECTION, MOUNTED ON CONTACTORS 3RT2 S0 COMM. CAPABLE CONTACTOR REQUIRED","Electrical engineering > Relays, contactors > General",https://dataportal.eplan.com/part-details/Siemens/SIE.3RA2711-1AA00/id-462206?page=9
SE.ZB4BZ101,Schneider Electric,single contact block with body/fixing collar 1NO screw clamp termil,None ,None ,https://dataportal.eplan.com/part-details/Schneider%20Electric/SE.ZB4BZ101/id-598693?page=9
RIT.4127010,Rittal,"Door-operated switch / SZ Door-operated switch, with accessory for interior installation, without connection cable",None ,"Electrical engineering > Sensor, switch, and pushbutton > General",https://dataportal.eplan.com/part-details/Rittal/RIT.4127010/id-559075?page=9
RIT.9340000,Rittal,"Busbar supports flat copper busbars / SV Busbar support, 3-pole, 60 mm bar centre distance, for busbar WH: 12x5-30x10 mm",None ,None ,https://dataportal.eplan.com/part-details/Rittal/RIT.9340000/id-422380?page=9
SIE.3SU1400-1AA10-1BA0,Siemens,CONTACT MODULE 1NO / SIRIUS ACT Contact module / Contact module,"Contact module with 1 contact element, 1 NO, screw terminal, for front plate mounting",None ,https://dataportal.eplan.com/part-details/Siemens/SIE.3SU1400-1AA10-1BA0/id-521969?page=9
SIE.3RH2914-2GP11,Siemens,"INTERFACE FOR 3RT2, 24VDC GATING / SIRIUS","COUPLING LINK FOR MOUNTING ONTO AC,DC,AC/DC CONTACTORS 3RT2 S00-S2, 24V DC CONTROL SPRING CONNECTION","Electrical engineering > Relays, contactors > General",https://dataportal.eplan.com/part-details/Siemens/SIE.3RH2914-2GP11/id-703995?page=9
RIT.8080500,Rittal,"Baying systems TS 8 / TS Bayed enclosure system, WHD: 1000x1800x400 mm, Sheet steel, with mounting plate, two doors at the front.",None ,Mechanics > Enclosure > General,https://dataportal.eplan.com/part-details/Rittal/RIT.8080500/id-424179?page=9
SIE.3RH2911-1FB22,Siemens,"AUX. SWITCH BLOCK 11U, 2NO+2NC COND. PATHS: 1NO, 1NC, / 1NC, 1NO, F. CONT. RELAYS A. MOTOR CONT. / SZ S00 AND S0, SCREW TERMINAL","AUX. SWITCH BLOCK 11U, 2NO+2NC COND. PATHS: 1NO, 1NC, 1NC, 1NO, F. CONT. RELAYS A. MOTOR CONT. SZ S00 AND S0,, SCREW TERMINAL DIN EN 50005","Electrical engineering > Relays, contactors > General",https://dataportal.eplan.com/part-details/Siemens/SIE.3RH2911-1FB22/id-451478?page=9
SIE.3RH2911-1HA01,Siemens,"AUX. SWITCH BLOCK , 1NC COND. PATHS: 1NC, / F. CONT. RELAYS A. MOTOR CONT. SZ S00 AND S0, / SCREW TERMINAL DIN EN 50012 AND DIN EN 50005","AUX. SWITCH BLOCK , 1NC COND. PATHS: 1NC, F. CONT. RELAYS A. MOTOR CONT. SZ S00 AND S0, SCREW TERMINAL, DIN EN 50012 AND DIN EN 50005","Electrical engineering > Relays, contactors > General",https://dataportal.eplan.com/part-details/Siemens/SIE.3RH2911-1HA01/id-451485?page=9
SIE.3RA2811-1CW10,Siemens,"TIME RELAY, ON-DELAY / SIRIUS timing relay / slow-operating","SOLID-STATE TIME RELAY ON-DELAY WITH SEMICONDUCTOR OUTPUT 24...240V AC/DC, TIME RANGE 0.05...100S, FOR SNAPPING ONTO THE FRONT, FOR 3RT2 CONTACTORS S00/S0 SCREW TERMINALS INTEGRATED VARISTOR FOR DAMPING CONTACTOR COILS","Electrical engineering > Relays, contactors > General",https://dataportal.eplan.com/part-details/Siemens/SIE.3RA2811-1CW10/id-450922?page=9
SIE.3RH2911-1HA12,Siemens,"AUX. SWITCH BLOCK , 1NO+2NC COND. PATHS: 1NC, 1NC, / 1NO, F. CONT. RELAYS A. MOTOR CONT. / SZ S00 AND S0, SCREW TERMINAL","AUX. SWITCH BLOCK , 1NO+2NC COND. PATHS: 1NC, 1NC, 1NO, F. CONT. RELAYS A. MOTOR CONT. SZ S00 AND S0,, SCREW TERMINAL DIN EN 50012 AND DIN EN 50005","Electrical engineering > Relays, contactors > General",https://dataportal.eplan.com/part-details/Siemens/SIE.3RH2911-1HA12/id-451490?page=9
SIE.6ES7522-1BL01-0AB0,Siemens,"S7-1500, DQ 32X24VDC/0.5A HF","SIMATIC S7-1500, DIGITAL OUTPUT MODULE DQ 32 X 24V DC/0.5A HF/ 32 CHANNELS IN GROUPS OF 8, 4 A PER GROUP/ SINGLE-CHANNEL DIAGNOSIS/ SUBSTITUTE VALUE",Electrical engineering > PLC > PLC output card digital,https://dataportal.eplan.com/part-details/Siemens/SIE.6ES7522-1BL01-0AB0/id-707568?page=9
